,Coverage,Conditional coverage,Size,Size cover,Method,Nominal,n_test,n_calib,n_train,noise_norm,Black box
0,0.916,,1.147,1.2172489082969433,None,0.9,1000,1000,60000,0.0,CNN
0,0.926,,1.425,1.4719222462203023,None,0.9,1000,1000,60000,0.5,CNN
0,0.892,,1.11,1.1984304932735426,SC,0.9,1000,1000,60000,0.0,CNN
0,0.927,,1.416,1.4660194174757282,SC,0.9,1000,1000,60000,0.5,CNN
0,0.9,,0.93,1.0,HCC,0.9,1000,1000,60000,0.0,CNN
0,0.753,,0.808,1.0,HCC,0.9,1000,1000,60000,0.5,CNN
0,0.954,,4.827,4.812368972746331,SC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.901,,5.09,5.038845726970033,SC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.968,,5.654,5.6384297520661155,HCC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.956,,5.52,5.5031380753138075,HCC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.918,,1.139,1.2047930283224402,None,0.9,1000,1000,60000,0.0,CNN
0,0.93,,1.43,1.4849462365591397,None,0.9,1000,1000,60000,0.5,CNN
0,0.888,,1.092,1.1835585585585586,SC,0.9,1000,1000,60000,0.0,CNN
0,0.916,,1.37,1.4377729257641922,SC,0.9,1000,1000,60000,0.5,CNN
0,0.901,,0.932,1.0,HCC,0.9,1000,1000,60000,0.0,CNN
0,0.746,,0.798,1.0,HCC,0.9,1000,1000,60000,0.5,CNN
0,0.982,,5.77,5.771894093686354,SC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.959,,5.563,5.557872784150156,SC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.977,,5.661,5.659160696008188,HCC_Smooth,0.9,1000,1000,60000,0.0,CNN
0,0.936,,5.601,5.569444444444445,HCC_Smooth,0.9,1000,1000,60000,0.5,CNN
0,0.907,,1.151,1.207276736493936,None,0.9,1000,1000,60000,0.0,CNN
0,0.921,,1.438,1.49728555917481,None,0.9,1000,1000,60000,0.5,CNN
0,0.894,,1.113,1.1890380313199105,SC,0.9,1000,1000,60000,0.0,CNN
0,0.906,,1.391,1.4591611479028697,SC,0.9,1000,1000,60000,0.5,CNN
